,name,category,year,birth_date,birth_country,death_date,prize_share,affiliation,motivation,uni_region,uni_country,founding_year,uni_rank,wiki_summary,wiki_url,wiki_other_languages,wiki_category,amount_wiki_categories,amount_NYT_articles
270,Zhores I. Alferov,The Nobel Prize in Physics,2000,1930,USSR (now Belarus),2019, 1/4 ,"A.F. Ioffe Physico-Technical Institute, St. Petersburg, Russia ", “for developing semiconductor heterostructures used in high-speed- and opto-electronics” ,,,,,"Zhores Ivanovich Alferov (Russian: Жоре́с Ива́нович Алфёров, IPA: [ʐɐˈrɛs ɨˈvanəvʲɪtɕ ɐlˈfʲɵrəf]; Belarusian: Жарэс Іва́навіч Алфёраў; 15 March 1930 – 1 March 2019) was a Soviet and Russian physicist and academic who contributed significantly to the creation of modern heterostructure physics and electronics. He shared the 2000 Nobel Prize in Physics for the development of the semiconductor heterojunction for optoelectronics. He also became a politician in his later life, serving in the lower house of the Russian parliament, the State Duma, as a member of the Communist Party from 1995.",https://en.wikipedia.org/wiki/Zhores_Alferov,75,"['1930 births', '2019 deaths', '20th-century Russian politicians', '21st-century Belarusian Jews', '21st-century Russian politicians', 'All articles with unsourced statements', 'Articles containing Belarusian-language text', 'Articles containing Russian-language text', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with DBLP identifiers', 'Articles with EMU identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with Libris identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with Russian-language sources (ru)', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from February 2023', 'Belarusian Nobel laureates', 'Belarusian atheists', 'Belarusian inventors', 'Belarusian physicists', 'CS1 Russian-language sources (ru)', 'CS1 uses Russian-language script (ru)', 'Commons category link is on Wikidata', 'Communist Party of the Russian Federation members', 'Communist Party of the Soviet Union members', 'Deaths from hypertension', 'Demidov Prize laureates', 'Fifth convocation members of the State Duma (Russian Federation)', 'Foreign associates of the National Academy of Sciences', 'Foreign members of the Chinese Academy of Sciences', 'Fourth convocation members of the State Duma (Russian Federation)', 'Full Cavaliers of the Order ""For Merit to the Fatherland""', 'Full Members of the Russian Academy of Sciences', 'Full Members of the USSR Academy of Sciences', 'Honorary Members of the Russian Academy of Education', 'Jewish Belarusian politicians', 'Jewish Russian physicists', 'Jewish atheists', 'Jewish socialists', 'Kyoto laureates in Advanced Technology', ""Members of the Congress of People's Deputies of the Soviet Union"", 'Members of the German Academy of Sciences at Berlin', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'Officers of the Legion of Honour', 'Our Home – Russia politicians', 'Recipients of the Lenin Prize', 'Recipients of the Order of Francysk Skaryna', 'Recipients of the Order of Lenin', 'Recipients of the Order of Prince Yaroslav the Wise, 5th class', 'Recipients of the Order of the Red Banner of Labour', 'Recipients of the USSR State Prize', 'Russian Nobel laureates', 'Russian atheists', 'Russian inventors', 'Russian physicists', 'Russian professors', 'Saint Petersburg Electrotechnical University alumni', 'Scientists from Vitebsk', 'Second convocation members of the State Duma (Russian Federation)', 'Semiconductor physicists', 'Seventh convocation members of the State Duma (Russian Federation)', 'Short description matches Wikidata', 'Sixth convocation members of the State Duma (Russian Federation)', 'Soviet physicists', 'Soviet professors', 'State Prize of the Russian Federation laureates', 'Third convocation members of the State Duma (Russian Federation)', 'Use dmy dates from April 2020', 'Webarchive template wayback links']",84,15
271,Herbert Kroemer,The Nobel Prize in Physics,2000,1928,Germany,, 1/4 ,"University of California, Santa Barbara, CA, USA ", “for developing semiconductor heterostructures used in high-speed- and opto-electronics” ,Northern America,United States,1909,  57 ,"Herbert Kroemer (German pronunciation: [ˈhɛʁbɛʁt ˈkʁøːmɐ] (listen); born August 25, 1928) is a German-American physicist who, along with Zhores Alferov, received the Nobel Prize in Physics in 2000 for ""developing semiconductor heterostructures used in high-speed- and opto-electronics"". Kroemer is professor emeritus of electrical and computer engineering at the University of California, Santa Barbara, having received his Ph.D. in theoretical physics in 1952 from the University of Göttingen, Germany, with a dissertation on hot electron effects in the then-new transistor. His research into transistors was a stepping stone to the later development of mobile phone technologies.",https://en.wikipedia.org/wiki/Herbert_Kroemer,58,"['1928 births', '20th-century German physicists', 'American Nobel laureates', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with DBLP identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with MGP identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with RID identifiers', 'Articles with SUDOC identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hAudio microformats', 'Articles with hCards', 'Articles with short description', 'Engineering educators', 'Fellow Members of the IEEE', 'Fellows of the American Physical Society', 'Foreign associates of the National Academy of Sciences', 'German Nobel laureates', 'German atheists', 'German emigrants to the United States', 'Grand Crosses with Star and Sash of the Order of Merit of the Federal Republic of Germany', 'IEEE Medal of Honor recipients', 'Living people', 'Members of the United States National Academy of Engineering', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'Scientists from Weimar', 'Semiconductor physicists', 'Short description is different from Wikidata', 'University of California, Santa Barbara faculty', 'University of Colorado faculty', 'University of Göttingen alumni', 'University of Jena alumni', 'Webarchive template wayback links']",46,11
272,Jack S. Kilby,The Nobel Prize in Physics,2000,1923,USA,2005, 1/2 ,"Texas Instruments, Dallas, TX, USA ", “for his part in the invention of the integrated circuit” ,,,,,"Jack St. Clair Kilby (November 8, 1923 – June 20, 2005) was an American electrical engineer who took part  (along with Robert Noyce of Fairchild) in the realization of the first integrated circuit while working at Texas Instruments (TI) in 1958.: 22  He was awarded the Nobel Prize in Physics on December 10, 2000.  Kilby was also the co-inventor of the handheld calculator and the thermal printer, for which he had the patents. He also had patents for seven other inventions.",https://en.wikipedia.org/wiki/Jack_Kilby,69,"['1923 births', '2005 deaths', 'All articles with dead external links', 'Amateur radio people', 'American Nobel laureates', 'American electronics engineers', 'American inventors', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with MusicBrainz identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with PIC identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with dead external links from February 2023', 'Articles with hCards', 'Articles with permanently dead external links', 'Articles with short description', 'Commons category link from Wikidata', 'Deaths from cancer in Texas', 'Draper Prize winners', 'Fellow Members of the IEEE', 'Grainger College of Engineering alumni', 'IEEE Centennial Medal laureates', 'IEEE Medal of Honor recipients', 'Kyoto laureates in Advanced Technology', 'Members of the American Philosophical Society', 'Members of the United States National Academy of Engineering', 'National Medal of Science laureates', 'National Medal of Technology recipients', 'Nobel laureates affiliated with Missouri', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'People from Jefferson City, Missouri', 'Physicists from Missouri', 'Scientists from Kansas', 'Scientists from Missouri', 'Short description matches Wikidata', 'Texas Instruments people', 'University of Wisconsin–Madison College of Engineering alumni', 'Webarchive template wayback links']",46,25
273,Alan J. Heeger,The Nobel Prize in Chemistry,2000,1936,USA,, 1/3 ,"University of California, Santa Barbara, CA, USA ", “for the discovery and development of conductive polymers” ,Northern America,United States,1909,  57 ,"Alan Jay Heeger (born January 22, 1936) is an American physicist, academic and Nobel Prize laureate in chemistry.
Heegar was elected as a member into the National Academy of Engineering in 2002 for co-founding the field of conducting polymers and for pioneering work in making these novel materials available for technological applications.",https://en.wikipedia.org/wiki/Alan_J._Heeger,53,"['1936 births', '21st-century American physicists', 'American Nobel laureates', 'Articles with DBLP identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with Google Scholar identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with NKC identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'Fellows of the American Physical Society', 'Foreign members of the Chinese Academy of Sciences', 'Jewish American scientists', 'Jewish physicists', 'Living people', 'Members of the United States National Academy of Engineering', 'Members of the United States National Academy of Sciences', 'Molecular electronics', 'Nobel laureates in Chemistry', 'Nobelprize template using Wikidata property P8024', 'Oliver E. Buckley Condensed Matter Prize winners', 'Organic semiconductors', 'People from Akron, Iowa', 'People from Sioux City, Iowa', 'Polymer scientists and engineers', 'Short description is different from Wikidata', 'University of California, Berkeley alumni', 'University of California, Santa Barbara faculty', 'University of Nebraska–Lincoln alumni']",37,13
274,Alan G. MacDiarmid,The Nobel Prize in Chemistry,2000,1927,New Zealand,2007, 1/3 ,"University of Pennsylvania, Philadelphia, PA, USA ", “for the discovery and development of conductive polymers” ,Northern America,United States,1740,  15 ,"Alan Graham MacDiarmid, ONZ FRS (14 April 1927 – 7 February 2007) was a New Zealand-born American chemist, and one of three recipients of the Nobel Prize for Chemistry in 2000.",https://en.wikipedia.org/wiki/Alan_MacDiarmid,53,"['1927 births', '2007 deaths', 'Academics of the University of St Andrews', 'Accidental deaths from falls', 'Accidental deaths in Pennsylvania', 'All articles with unsourced statements', 'Alumni of Sidney Sussex College, Cambridge', 'Articles with DBLP identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with NTA identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from February 2015', 'Burials at Arlington Cemetery (Pennsylvania)', 'CS1 errors', 'Deaths from myelodysplastic syndrome', 'Members of the Order of New Zealand', 'Members of the United States National Academy of Sciences', 'New Zealand Fellows of the Royal Society', 'New Zealand Nobel laureates', 'New Zealand chemists', 'New Zealand emigrants to the United States', 'Nobel laureates in Chemistry', 'Nobelprize template using Wikidata property P8024', 'People educated at Hutt Valley High School', 'People from Drexel Hill, Pennsylvania', 'People from Masterton', 'Polymer scientists and engineers', 'Recipients of the Rutherford Medal', 'Short description is different from Wikidata', 'Social nudity advocates', 'University of Pennsylvania faculty', 'University of Texas at Dallas faculty', 'University of Wisconsin–Madison College of Letters and Science alumni', 'Use British English from April 2012', 'Use dmy dates from February 2021', 'Victoria University of Wellington alumni', 'Webarchive template wayback links']",47,11
275,Hideki Shirakawa,The Nobel Prize in Chemistry,2000,1936,Japan,, 1/3 ,"University of Tsukuba, Tsukuba, Japan ", “for the discovery and development of conductive polymers” ,Eastern Asia,Japan,1973,  201-300 ,"Hideki Shirakawa (白川 英樹, Shirakawa Hideki, born August 20, 1936) is a Japanese chemist, engineer, and Professor Emeritus at the University of Tsukuba and Zhejiang University. He is best known for his discovery of conductive polymers. He was co-recipient of the 2000 Nobel Prize in Chemistry jointly with Alan MacDiarmid and Alan Heeger.",https://en.wikipedia.org/wiki/Hideki_Shirakawa,53,"['1936 births', 'Academic staff of the University of Tsukuba', 'Articles containing Japanese-language text', 'Articles with CINII identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with NDL identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Japanese Nobel laureates', 'Japanese scientists', 'Living people', 'Nobel laureates in Chemistry', 'Nobelprize template using Wikidata property P8024', 'People from Gifu Prefecture', 'Polymer scientists and engineers', 'Recipients of the Order of Culture', 'Short description is different from Wikidata', 'Tokyo Institute of Technology alumni', 'Webarchive template wayback links']",25,11
276,Arvid Carlsson,The Nobel Prize in Physiology or Medicine,2000,1923,Sweden,2018, 1/3 ,"Göteborg University, Gothenburg, Sweden ", “for their discoveries concerning signal transduction in the nervous system” ,,,,,"Arvid Carlsson (25 January 1923 – 29 June 2018) was a Swedish neuropharmacologist who is best known for his work with the neurotransmitter dopamine and its effects in Parkinson's disease. For his work on dopamine, Carlsson was awarded the Nobel Prize in Physiology or Medicine in 2000, together with Eric Kandel and Paul Greengard.",https://en.wikipedia.org/wiki/Arvid_Carlsson,48,"['1923 births', '2018 deaths', '20th-century Swedish scientists', '21st-century Swedish scientists', 'Academic staff of the University of Gothenburg', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with VcBA identifiers', 'Articles with hCards', 'Articles with short description', 'CS1 Italian-language sources (it)', 'CS1 Swedish-language sources (sv)', 'Commons category link is on Wikidata', 'Members of the National Academy of Medicine', 'Members of the Royal Swedish Academy of Sciences', 'Nobel laureates in Physiology or Medicine', 'Nobelprize template using Wikidata property P8024', 'People connected to Lund University', 'People from Uppsala', 'Short description matches Wikidata', 'Swedish Nobel laureates', 'Swedish neuroscientists', 'Swedish pharmacologists', 'Use dmy dates from July 2018', 'Wolf Prize in Medicine laureates']",39,28
277,Paul Greengard,The Nobel Prize in Physiology or Medicine,2000,1925,USA,2019, 1/3 ,"Rockefeller University, New York, NY, USA ", “for their discoveries concerning signal transduction in the nervous system” ,Northern America,United States,1901,  44 ,"Paul Greengard (December 11, 1925 – April 13, 2019) was an American neuroscientist best known for his work on the molecular and cellular function of neurons. In 2000, Greengard, Arvid Carlsson and Eric Kandel were awarded the Nobel Prize for Physiology or Medicine for their discoveries concerning signal transduction in the nervous system. He was Vincent Astor Professor at Rockefeller University, and served on the Scientific Advisory Board of the Cure Alzheimer's Fund, as well as the Scientific Council of the Brain & Behavior Research Foundation. He was married to artist Ursula von Rydingsvard.",https://en.wikipedia.org/wiki/Paul_Greengard,50,"['1925 births', '2019 deaths', 'Academics of the University of Cambridge', 'All articles with unsourced statements', 'American Nobel laureates', 'American cognitive neuroscientists', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with DBLP identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with ORCID identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from December 2013', 'CS1 Italian-language sources (it)', 'CS1 Norwegian-language sources (no)', 'Hamilton College (New York) alumni', 'Jewish neuroscientists', 'Jewish physicians', 'Johns Hopkins University alumni', 'Members of the American Philosophical Society', 'Members of the National Academy of Medicine', 'Members of the Norwegian Academy of Science and Letters', 'Members of the Royal Swedish Academy of Sciences', 'Members of the Serbian Academy of Sciences and Arts', 'Members of the United States National Academy of Sciences', 'Military personnel from New York City', 'Nobel laureates in Physiology or Medicine', 'Nobelprize template using Wikidata property P8024', 'Pages using infobox person with multiple spouses', 'Rockefeller University people', 'Scientists from New York City', 'Scripps Research', 'Short description is different from Wikidata', 'United States Navy personnel of World War II', 'United States Navy sailors']",48,46
278,Eric R. Kandel,The Nobel Prize in Physiology or Medicine,2000,1929,Austria,, 1/3 ,"Columbia University, New York, NY, USA ", “for their discoveries concerning signal transduction in the nervous system” ,Northern America,United States,1754,  8 ,"Eric Richard Kandel (German: [ˈkandəl]; born Erich Richard Kandel, November 7, 1929) is an Austrian-born American medical doctor who specialized in psychiatry, a neuroscientist and a professor of biochemistry and biophysics at the College of Physicians and Surgeons at Columbia University. He was a recipient of the 2000 Nobel Prize in Physiology or Medicine for his research on the physiological basis of memory storage in neurons. He shared the prize with Arvid Carlsson and Paul Greengard.
He is a Senior Investigator in the Howard Hughes Medical Institute. He was also the founding director of the Center for Neurobiology and Behavior, which is now the Department of Neuroscience at Columbia University. He currently serves on the Scientific Council of the Brain & Behavior Research Foundation. Kandel's popularized account chronicling his life and research, In Search of Memory: The Emergence of a New Science of Mind, was awarded the 2006 Los Angeles Times Book Prize for Science and Technology.",https://en.wikipedia.org/wiki/Eric_Kandel,49,"['1929 births', 'All articles with unsourced statements', 'American Nobel laureates', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Leopoldina identifiers', 'Articles with Libris identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLK identifiers', 'Articles with NTA identifiers', 'Articles with ORCID identifiers', 'Articles with PLWABN identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from June 2012', 'Articles with unsourced statements from March 2014', 'Articles with unsourced statements from May 2020', 'Austrian Nobel laureates', 'Austrian psychiatrists', 'CS1 German-language sources (de)', 'Cognitive neuroscientists', 'Columbia Medical School faculty', 'Commons category link is on Wikidata', 'Erasmus Hall High School alumni', 'Fellows of the American Academy of Arts and Sciences', 'Fellows of the American Association for the Advancement of Science', 'Foreign Members of the Royal Society', 'Harvard University alumni', 'Howard Hughes Medical Investigators', 'Jewish American scientists', 'Jewish emigrants from Austria after the Anschluss to the United States', 'Jews from Galicia (Eastern Europe)', 'Living people', 'Members of the French Academy of Sciences', 'Members of the National Academy of Medicine', 'Members of the United States National Academy of Sciences', 'Memory researchers', 'National Medal of Science laureates', 'New York University Grossman School of Medicine alumni', 'Nobel laureates in Physiology or Medicine', 'Nobelprize template using Wikidata property P8024', 'Physicians from Brooklyn', 'Recipients of the Albert Lasker Award for Basic Medical Research', 'Recipients of the Austrian Decoration for Science and Art', 'Recipients of the Grand Decoration with Star for Services to the Republic of Austria', 'Recipients of the Pour le Mérite (civil class)', 'Short description matches Wikidata', 'Webarchive template wayback links', 'Winners of the Heineken Prize', 'Wolf Prize in Medicine laureates', 'Yeshiva of Flatbush alumni']",64,64
279,Gao Xingjian,The Nobel Prize in Literature,2000,1940,China,, 1/1 ,," “for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama” ",,,,,"Gao Xingjian (高行健 in Chinese - born January 4, 1940) is a Chinese émigré and later French naturalized novelist, playwright, critic, painter, photographer, film director, and translator who in 2000 was awarded the Nobel Prize in Literature ""for an oeuvre of universal validity, bitter insights and linguistic ingenuity."" He is also a noted translator (particularly of Samuel Beckett and Eugène Ionesco), screenwriter, stage director, and a celebrated painter.
Gao's drama is considered to be fundamentally absurdist in nature and avant-garde in his native China. Absolute Signal (1982) was a breakthrough in Chinese experimental theatre. The Bus Stop (1983) and The Other Shore (1986) had their productions halted by the Chinese government, with the acclaimed Wild Man (1985) the last work of his to be publicly performed in China. He left the country in 1987 and his plays from The Other Shore onward increasingly centered on universal (rather than Chinese) concerns, but his 1989 play Exile angered both the government for its depiction of China and the overseas democracy movement for its depiction of intellectuals. In 1998, he was granted French citizenship.
Gao's influences include classical Chinese opera, folk culture, and 20th century European drama such as Antonin Artaud, and he said in 1987 that as a writer he could be placed at the meeting point between Western and Eastern cultures. He is a very private person, however, and later claimed, ""No matter whether it is in politics or literature, I do not believe in or belong to any party or school, and this includes nationalism and patriotism."" His prose works tend to be less celebrated in China but are highly regarded elsewhere in Europe and the West, with Soul Mountain singled out in the Nobel Prize announcement.",https://en.wikipedia.org/wiki/Gao_Xingjian,91,"['1940 births', '20th-century Chinese dramatists and playwrights', '20th-century Chinese painters', 'All articles with dead external links', 'Articles containing Chinese-language text', 'Articles containing simplified Chinese-language text', 'Articles containing traditional Chinese-language text', 'Articles with BIBSYS identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KANTO identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with Libris identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLG identifiers', 'Articles with NLK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with PortugalA identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with ULAN identifiers', 'Articles with VIAF identifiers', 'Articles with dead external links from December 2019', 'Articles with permanently dead external links', 'Articles with short description', 'Chinese dramatists and playwrights', 'Chinese emigrants to France', 'Chinese literary critics', 'Chinese male novelists', 'Commons category link is on Wikidata', 'French Nobel laureates', 'French translators', 'Living people', 'Male dramatists and playwrights', 'Naturalized citizens of France', 'Nobel laureates in Literature', 'Nobelprize template using Wikidata property P8024', 'People appearing on C-SPAN', 'People from Ganzhou', 'People who lost Chinese citizenship', 'Short description is different from Wikidata', 'Use mdy dates from June 2011', 'Webarchive template wayback links', 'Writers from Jiangxi']",58,84
280,Kim Dae-jung,The Nobel Peace Prize,2000,1925,Korea (now South Korea),2009, 1/1 ,," “for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular” ",,,,,"Kim Dae-jung (Korean: 김대중; Hanja: 金大中; Korean pronunciation: [kim.dɛ.dʑuŋ]; 6 January 1924 – 18 August 2009), often referred to by his initials DJ, was a South Korean politician and activist who served as the eighth president of South Korea from 1998 to 2003.
He was a 2000 Nobel Peace Prize recipient for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea and Japan. He is also the only Korean to have won the Nobel Prize to date. He was sometimes referred to as ""the Nelson Mandela of Asia"". Kim was the first opposition candidate to win the presidency.",https://en.wikipedia.org/wiki/Kim_Dae-jung,81,"['1924 births', '2009 deaths', '20th-century Roman Catholics', '21st-century Roman Catholics', 'All articles with unsourced statements', 'Amnesty International prisoners of conscience held by South Korea', 'Articles containing Korean-language text', 'Articles with BIBSYS identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with Libris identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with short description', 'Articles with unsourced statements from August 2020', 'Articles with unsourced statements from June 2012', 'Biography articles needing translation from Korean Wikipedia', 'Burials at Seoul National Cemetery', 'CS1 Korean-language sources (ko)', 'CS1 maint', 'CS1 maint', 'Commons category link from Wikidata', 'Converts to Roman Catholicism', 'Deaths from multiple organ failure', 'Democratic Party (South Korea, 2000) politicians', 'Fellows of Clare Hall, Cambridge', 'Gimhae Kim clan', 'Honorary Knights Grand Cross of the Order of St Michael and St George', 'Honorary Knights Grand Cross of the Order of the Bath', 'Kidnapped South Korean people', 'Kidnapped politicians', 'Kim Dae-jung', 'Liberalism in South Korea', 'Members of the National Assembly (South Korea)', 'Neoliberalism', 'Nobel Peace Prize laureates', 'Nobelprize template using Wikidata property P8024', 'People appearing on C-SPAN', 'People from South Jeolla Province', 'Political prisoners', 'Presidents of South Korea', 'Recipients of the Olympic Order', 'Recipients of the Order of Merit of the Federal Republic of Germany', 'Short description matches Wikidata', 'South Korean Nobel laureates', 'South Korean Roman Catholics', 'South Korean democracy activists', 'South Korean prisoners sentenced to death', 'Use dmy dates from April 2022', 'Wikipedia indefinitely move-protected pages']",67,2661
281,James J. Heckman,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2000,1944,USA,, 1/2 ,"University of Chicago, Chicago, IL, USA ", “for his development of theory and methods for analyzing selective samples” ,Northern America,United States,1890,  10 ,"James Joseph Heckman (born April 19, 1944) is a Nobel Memorial in Economic Sciences Prize-winning American economist at the University of Chicago, where he is The Henry Schultz Distinguished Service Professor in Economics and the College; Professor at the Harris School of Public Policy; Director of the Center for the Economics of Human Development (CEHD); and Co-Director of Human Capital and Economic Opportunity (HCEO) Global Working Group. He is also Professor of Law at the Law School, a senior research fellow at the American Bar Foundation, and a research associate at the National Bureau of Economic Research.
In 2000, Heckman shared the Nobel Memorial Prize in Economic Sciences with Daniel McFadden, for his pioneering work in econometrics and microeconomics. He is noted for his contributions to selection bias and self-selection in quantitative analysis in the social sciences, especially the Heckman correction, which earned him the Nobel Prize in Economics. He is also well known for his empirical research in labor economics and his scholarship on the efficacy of early childhood education programs. As of December 2022, according to RePEc, he is the second-most influential economist in the world.",https://en.wikipedia.org/wiki/James_Heckman,44,"['1944 births', '20th-century American economists', '21st-century American economists', 'Academics of University College London', 'American Nobel laureates', 'American educational theorists', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with DBLP identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with Google Scholar identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with MATHSN identifiers', 'Articles with MGP identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLK identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with ORCID identifiers', 'Articles with PLWABN identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'Colorado College alumni', 'Columbia University faculty', 'Distinguished Fellows of the American Economic Association', 'Econometricians', 'Education economists', 'Elected Members of the International Statistical Institute', 'Fellows of the American Academy of Arts and Sciences', 'Fellows of the American Statistical Association', 'Fellows of the Econometric Society', 'Institute for New Economic Thinking', 'Journal of Political Economy editors', 'Labor economists', 'Living people', 'Members of the American Philosophical Society', 'Members of the United States National Academy of Sciences', 'Microeconometricians', 'Microeconomists', 'National Bureau of Economic Research', 'Nobel laureates in Economics', 'Nobelprize template using Wikidata property P8024', 'People appearing on C-SPAN', 'Presidents of the Econometric Society', 'Princeton University alumni', 'Short description is different from Wikidata', 'University of Chicago Law School faculty', 'University of Chicago alumni', 'University of Chicago faculty', 'University of Southern California faculty']",63,51
